time,x,y
33.325,329,87
33.367,329,87
33.408,328,87
33.450,330,87
33.492,332,86
33.534,333,87
33.575,333,86
33.617,331,87
33.659,332,86
33.700,333,87
33.742,332,86
33.784,333,86
33.825,332,85
33.867,334,86
33.909,330,86
33.951,331,86
33.992,331,86
34.034,331,86
34.076,331,85
34.117,331,85
34.159,329,86
34.201,329,86
34.243,329,86
34.284,330,86
34.326,326,87
34.368,329,88
34.409,328,87
34.451,328,88
34.493,330,88
34.534,329,88
34.576,330,87
34.618,329,86
34.660,328,87
34.701,330,87
34.743,329,87
34.785,331,88
34.826,332,87
34.868,334,86
34.910,333,86
34.952,333,86
34.993,331,86
35.035,330,87
35.077,329,87
35.118,330,87
35.160,325,87
35.202,326,87
35.244,325,86
35.285,325,87
35.327,326,86
35.369,325,87
35.410,328,86
35.452,330,85
35.494,330,85
35.536,331,86
35.577,329,85
35.619,327,86
35.661,327,85
35.702,327,85
35.744,330,85
35.786,325,85
35.827,329,85
35.869,325,85
35.911,326,85
35.953,326,86
35.994,324,85
36.036,332,85
36.078,325,86
36.119,331,86
36.161,328,87
36.203,332,85
36.245,325,86
36.286,329,85
36.328,327,86
36.370,331,86
36.411,330,86
36.453,333,85
36.495,329,85
36.537,330,86
36.578,331,85
36.620,329,84
36.662,332,84
36.703,329,85
36.745,331,86
36.787,330,86
36.828,331,85
36.870,331,86
36.912,329,85
36.954,330,85
36.995,328,84
37.037,331,87
37.079,327,86
37.120,330,86
37.162,329,86
37.204,328,86
37.246,327,86
37.287,330,86
37.329,326,85
37.371,325,86
37.412,325,86
37.454,327,86
37.496,326,87
37.537,333,85
37.579,331,85
37.621,331,84
37.663,330,84
37.704,331,85
37.746,334,85
37.788,331,85
37.829,332,85
37.871,328,85
37.913,328,84
37.955,330,85
37.996,331,85
38.038,332,86
38.080,331,84
38.121,332,85
38.163,332,83
38.205,331,84
38.247,331,84
38.288,331,86
38.330,333,84
38.372,330,86
38.413,329,86
38.455,326,85
38.497,332,84
38.539,331,86
38.580,330,87
38.622,329,86
38.664,330,86
38.705,331,86
38.747,330,85
38.789,331,87
38.830,330,86
38.872,329,87
38.914,330,85
38.956,331,86
38.997,330,87
39.039,332,86
39.081,331,86
39.122,331,86
39.164,327,87
39.206,329,87
39.248,331,86
39.289,330,87
39.331,330,86
39.373,330,86
39.414,330,87
39.456,328,86
39.498,328,86
39.540,330,86
39.581,332,86
39.623,332,86
39.665,332,85
39.706,332,86
39.748,332,85
39.790,331,86
39.831,330,86
39.873,330,87
39.915,331,87
39.957,330,87
39.998,330,86
40.040,331,86
40.082,330,85
40.123,326,85
40.165,329,84
40.207,326,86
40.249,327,85
40.290,327,85
40.332,330,86
40.374,331,86
40.415,331,85
40.457,329,86
40.499,328,85
40.540,330,85
40.582,330,85
40.624,331,84
40.666,332,84
40.707,334,84
40.749,329,84
40.791,330,84
40.832,331,84
40.874,330,85
40.916,325,85
40.958,326,85
40.999,327,83
41.041,328,85
41.083,327,85
41.124,329,84
41.166,327,85
